layer_start,layer_end,page_start,page_end,semantic_class,pin,k_precision_name,v_precision_name,residency_tier,promotion_priority,demotion_priority,recompute_priority,authority,case,budget_pct,kv_layout,range_ordinal,used_pages,prompt_pages,recent_start_page,plan_validation_ok,shadowed_layer_page_matches
32,47,1,45,late_layer_payload,0,int8,int8,warm,35,65,50,hard,long_generation_systems,50.0,tmh_fidelity_paged_kv,3,93,45,46,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,early_anchor_long_tail,25.0,tmh_fidelity_paged_kv,0,166,154,124,True,0
0,47,124,165,recent_tail,0,raw,raw,hot,100,0,0,hard,early_anchor_long_tail,25.0,tmh_fidelity_paged_kv,1,166,154,124,True,0
0,31,1,123,prefill_payload,0,int8,int4,warm,25,75,50,hard,early_anchor_long_tail,25.0,tmh_fidelity_paged_kv,2,166,154,124,True,0
32,47,1,123,late_layer_payload,0,int8,int8,warm,35,65,50,hard,early_anchor_long_tail,25.0,tmh_fidelity_paged_kv,3,166,154,124,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,middle_anchor_detour,25.0,tmh_fidelity_paged_kv,0,136,120,102,True,0
0,47,102,135,recent_tail,0,raw,raw,hot,100,0,0,hard,middle_anchor_detour,25.0,tmh_fidelity_paged_kv,1,136,120,102,True,0
0,31,1,101,prefill_payload,0,int8,int4,warm,25,75,50,hard,middle_anchor_detour,25.0,tmh_fidelity_paged_kv,2,136,120,102,True,0
32,47,1,101,late_layer_payload,0,int8,int8,warm,35,65,50,hard,middle_anchor_detour,25.0,tmh_fidelity_paged_kv,3,136,120,102,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,late_anchor_control,25.0,tmh_fidelity_paged_kv,0,90,78,67,True,0
0,47,67,89,recent_tail,0,raw,raw,hot,100,0,0,hard,late_anchor_control,25.0,tmh_fidelity_paged_kv,1,90,78,67,True,0
0,31,1,66,prefill_payload,0,int8,int4,warm,25,75,50,hard,late_anchor_control,25.0,tmh_fidelity_paged_kv,2,90,78,67,True,0
32,47,1,66,late_layer_payload,0,int8,int8,warm,35,65,50,hard,late_anchor_control,25.0,tmh_fidelity_paged_kv,3,90,78,67,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,decoy_collision,25.0,tmh_fidelity_paged_kv,0,101,85,75,True,0
0,47,75,100,recent_tail,0,raw,raw,hot,100,0,0,hard,decoy_collision,25.0,tmh_fidelity_paged_kv,1,101,85,75,True,0
0,31,1,74,prefill_payload,0,int8,int4,warm,25,75,50,hard,decoy_collision,25.0,tmh_fidelity_paged_kv,2,101,85,75,True,0
32,47,1,74,late_layer_payload,0,int8,int8,warm,35,65,50,hard,decoy_collision,25.0,tmh_fidelity_paged_kv,3,101,85,75,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,routing_table,25.0,tmh_fidelity_paged_kv,0,99,83,74,True,0
0,47,74,98,recent_tail,0,raw,raw,hot,100,0,0,hard,routing_table,25.0,tmh_fidelity_paged_kv,1,99,83,74,True,0
