layer_start,layer_end,page_start,page_end,semantic_class,pin,k_precision_name,v_precision_name,residency_tier,promotion_priority,demotion_priority,recompute_priority,authority,case,budget_pct,kv_layout,range_ordinal,used_pages,prompt_pages,recent_start_page,plan_validation_ok,shadowed_layer_page_matches
32,47,1,69,late_layer_payload,0,int8,int8,warm,35,65,50,hard,routing_table,50.0,tmh_fidelity_paged_kv,3,140,124,70,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,structured_records,50.0,tmh_fidelity_paged_kv,0,145,125,72,True,0
0,47,72,144,recent_tail,0,raw,raw,hot,100,0,0,hard,structured_records,50.0,tmh_fidelity_paged_kv,1,145,125,72,True,0
0,31,1,71,prefill_payload,0,int8,int4,warm,25,75,50,hard,structured_records,50.0,tmh_fidelity_paged_kv,2,145,125,72,True,0
32,47,1,71,late_layer_payload,0,int8,int8,warm,35,65,50,hard,structured_records,50.0,tmh_fidelity_paged_kv,3,145,125,72,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,instruction_persistence,50.0,tmh_fidelity_paged_kv,0,253,237,126,True,0
0,47,126,252,recent_tail,0,raw,raw,hot,100,0,0,hard,instruction_persistence,50.0,tmh_fidelity_paged_kv,1,253,237,126,True,0
0,31,1,125,prefill_payload,0,int8,int4,warm,25,75,50,hard,instruction_persistence,50.0,tmh_fidelity_paged_kv,2,253,237,126,True,0
32,47,1,125,late_layer_payload,0,int8,int8,warm,35,65,50,hard,instruction_persistence,50.0,tmh_fidelity_paged_kv,3,253,237,126,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,multi_hop_bridge,50.0,tmh_fidelity_paged_kv,0,141,121,70,True,0
0,47,70,140,recent_tail,0,raw,raw,hot,100,0,0,hard,multi_hop_bridge,50.0,tmh_fidelity_paged_kv,1,141,121,70,True,0
0,31,1,69,prefill_payload,0,int8,int4,warm,25,75,50,hard,multi_hop_bridge,50.0,tmh_fidelity_paged_kv,2,141,121,70,True,0
32,47,1,69,late_layer_payload,0,int8,int8,warm,35,65,50,hard,multi_hop_bridge,50.0,tmh_fidelity_paged_kv,3,141,121,70,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,payload_dense,50.0,tmh_fidelity_paged_kv,0,256,236,128,True,0
0,47,128,255,recent_tail,0,raw,raw,hot,100,0,0,hard,payload_dense,50.0,tmh_fidelity_paged_kv,1,256,236,128,True,0
0,31,1,127,prefill_payload,0,int8,int4,warm,25,75,50,hard,payload_dense,50.0,tmh_fidelity_paged_kv,2,256,236,128,True,0
32,47,1,127,late_layer_payload,0,int8,int8,warm,35,65,50,hard,payload_dense,50.0,tmh_fidelity_paged_kv,3,256,236,128,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,long_generation_systems,50.0,tmh_fidelity_paged_kv,0,114,66,57,True,0
0,47,57,113,recent_tail,0,raw,raw,hot,100,0,0,hard,long_generation_systems,50.0,tmh_fidelity_paged_kv,1,114,66,57,True,0
0,31,1,56,prefill_payload,0,int8,int4,warm,25,75,50,hard,long_generation_systems,50.0,tmh_fidelity_paged_kv,2,114,66,57,True,0
32,47,1,56,late_layer_payload,0,int8,int8,warm,35,65,50,hard,long_generation_systems,50.0,tmh_fidelity_paged_kv,3,114,66,57,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,early_anchor_long_tail,25.0,tmh_fidelity_paged_kv,0,248,236,186,True,0
0,47,186,247,recent_tail,0,raw,raw,hot,100,0,0,hard,early_anchor_long_tail,25.0,tmh_fidelity_paged_kv,1,248,236,186,True,0
0,31,1,185,prefill_payload,0,int8,int4,warm,25,75,50,hard,early_anchor_long_tail,25.0,tmh_fidelity_paged_kv,2,248,236,186,True,0
32,47,1,185,late_layer_payload,0,int8,int8,warm,35,65,50,hard,early_anchor_long_tail,25.0,tmh_fidelity_paged_kv,3,248,236,186,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,middle_anchor_detour,25.0,tmh_fidelity_paged_kv,0,199,183,149,True,0
0,47,149,198,recent_tail,0,raw,raw,hot,100,0,0,hard,middle_anchor_detour,25.0,tmh_fidelity_paged_kv,1,199,183,149,True,0
0,31,1,148,prefill_payload,0,int8,int4,warm,25,75,50,hard,middle_anchor_detour,25.0,tmh_fidelity_paged_kv,2,199,183,149,True,0
32,47,1,148,late_layer_payload,0,int8,int8,warm,35,65,50,hard,middle_anchor_detour,25.0,tmh_fidelity_paged_kv,3,199,183,149,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,late_anchor_control,25.0,tmh_fidelity_paged_kv,0,131,119,98,True,0
0,47,98,130,recent_tail,0,raw,raw,hot,100,0,0,hard,late_anchor_control,25.0,tmh_fidelity_paged_kv,1,131,119,98,True,0
0,31,1,97,prefill_payload,0,int8,int4,warm,25,75,50,hard,late_anchor_control,25.0,tmh_fidelity_paged_kv,2,131,119,98,True,0
32,47,1,97,late_layer_payload,0,int8,int8,warm,35,65,50,hard,late_anchor_control,25.0,tmh_fidelity_paged_kv,3,131,119,98,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,decoy_collision,25.0,tmh_fidelity_paged_kv,0,143,127,107,True,0
0,47,107,142,recent_tail,0,raw,raw,hot,100,0,0,hard,decoy_collision,25.0,tmh_fidelity_paged_kv,1,143,127,107,True,0
0,31,1,106,prefill_payload,0,int8,int4,warm,25,75,50,hard,decoy_collision,25.0,tmh_fidelity_paged_kv,2,143,127,107,True,0
32,47,1,106,late_layer_payload,0,int8,int8,warm,35,65,50,hard,decoy_collision,25.0,tmh_fidelity_paged_kv,3,143,127,107,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,routing_table,25.0,tmh_fidelity_paged_kv,0,140,124,105,True,0
0,47,105,139,recent_tail,0,raw,raw,hot,100,0,0,hard,routing_table,25.0,tmh_fidelity_paged_kv,1,140,124,105,True,0
0,31,1,104,prefill_payload,0,int8,int4,warm,25,75,50,hard,routing_table,25.0,tmh_fidelity_paged_kv,2,140,124,105,True,0
32,47,1,104,late_layer_payload,0,int8,int8,warm,35,65,50,hard,routing_table,25.0,tmh_fidelity_paged_kv,3,140,124,105,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,structured_records,25.0,tmh_fidelity_paged_kv,0,145,125,108,True,0
0,47,108,144,recent_tail,0,raw,raw,hot,100,0,0,hard,structured_records,25.0,tmh_fidelity_paged_kv,1,145,125,108,True,0
0,31,1,107,prefill_payload,0,int8,int4,warm,25,75,50,hard,structured_records,25.0,tmh_fidelity_paged_kv,2,145,125,108,True,0
32,47,1,107,late_layer_payload,0,int8,int8,warm,35,65,50,hard,structured_records,25.0,tmh_fidelity_paged_kv,3,145,125,108,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,instruction_persistence,25.0,tmh_fidelity_paged_kv,0,253,237,189,True,0
0,47,189,252,recent_tail,0,raw,raw,hot,100,0,0,hard,instruction_persistence,25.0,tmh_fidelity_paged_kv,1,253,237,189,True,0
0,31,1,188,prefill_payload,0,int8,int4,warm,25,75,50,hard,instruction_persistence,25.0,tmh_fidelity_paged_kv,2,253,237,189,True,0
32,47,1,188,late_layer_payload,0,int8,int8,warm,35,65,50,hard,instruction_persistence,25.0,tmh_fidelity_paged_kv,3,253,237,189,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,multi_hop_bridge,25.0,tmh_fidelity_paged_kv,0,141,121,105,True,0
0,47,105,140,recent_tail,0,raw,raw,hot,100,0,0,hard,multi_hop_bridge,25.0,tmh_fidelity_paged_kv,1,141,121,105,True,0
0,31,1,104,prefill_payload,0,int8,int4,warm,25,75,50,hard,multi_hop_bridge,25.0,tmh_fidelity_paged_kv,2,141,121,105,True,0
32,47,1,104,late_layer_payload,0,int8,int8,warm,35,65,50,hard,multi_hop_bridge,25.0,tmh_fidelity_paged_kv,3,141,121,105,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,payload_dense,25.0,tmh_fidelity_paged_kv,0,256,236,192,True,0
0,47,192,255,recent_tail,0,raw,raw,hot,100,0,0,hard,payload_dense,25.0,tmh_fidelity_paged_kv,1,256,236,192,True,0
0,31,1,191,prefill_payload,0,int8,int4,warm,25,75,50,hard,payload_dense,25.0,tmh_fidelity_paged_kv,2,256,236,192,True,0
32,47,1,191,late_layer_payload,0,int8,int8,warm,35,65,50,hard,payload_dense,25.0,tmh_fidelity_paged_kv,3,256,236,192,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,long_generation_systems,25.0,tmh_fidelity_paged_kv,0,114,66,85,True,0
0,47,85,113,recent_tail,0,raw,raw,hot,100,0,0,hard,long_generation_systems,25.0,tmh_fidelity_paged_kv,1,114,66,85,True,0
0,31,1,84,prefill_payload,0,int8,int4,warm,25,75,50,hard,long_generation_systems,25.0,tmh_fidelity_paged_kv,2,114,66,85,True,0
32,47,1,84,late_layer_payload,0,int8,int8,warm,35,65,50,hard,long_generation_systems,25.0,tmh_fidelity_paged_kv,3,114,66,85,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,early_anchor_long_tail,12.5,tmh_fidelity_paged_kv,0,248,236,217,True,0
